ModulNr.1,tag,VNT_37,VNT_44,VNT_46,POL-METH,Phil-MA 2,Phil-MA WP-1,Phil-PM-WT 3,BWL-MA-02-04 / MA-WW-BWL-0205 / D-WW-WIWI-0205,BWL-MA-03-04,BWL-MA-04-04,FOMH 6,FOMH 9,FOMH 10,FOMH 12,MSc GIT 04,MSc GIT 09,MSc GIT 12,MSc G 04,MSc G 09,MSc G 11
Management,Integriertes Wasser-Ressourcen-Management (IWRM),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Management,IT-Sicherheitsmanagement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Management,Landnutzungsmanagement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Management,Managementplanung,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Management,Nachhaltigkeitsmanagement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Management,Projektmanagement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Management,Qualitätsmanagement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Management,Ressourcenmanagement,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Management,Risikomanagement,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Management,Strategisches Management,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Management,Umweltmanagement,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Management,Wassermanagement / Management Wassereinzugsgebiet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Methoden,Bestimmung von Arten / Artenkenntnis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Methoden,Bioanalytik / Umweltanalytik,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Methoden,biologische Systematik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Methoden,Biologisches Zeichnen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Methoden,Biometrie,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Methoden,bodenkundliche Messtechniken,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Methoden,faunistische Erfassungsmethode / Bestandsaufnahme / Fangmethode,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Methoden,Felduntersuchung / Feldmethode / Freilanduntersuchung,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Methoden,floristische Erfassungsmethode / Bestandsaufnahme,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Methoden,geographische Untersuchungstechnik / geographische Recherchetechnik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Methoden,Informationssystem / Expertensystem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Methoden,Informationstechnologie / Kommunikationstechnologie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Methoden,Labormethode / Laborexperiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Methoden,Landschaftsanalyse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
